2026-02-27T00:09:33.352Z [ODDS]  Serra: 6/5 → 5/4
2026-02-27T00:37:52.751Z [ODDS]  Serra: 2/1 → 21/10
2026-02-27T00:38:06.838Z [ODDS]  Serra: 21/10 → 2/1
2026-02-27T00:38:32.479Z [ODDS]  Serra: 2/1 → 21/10
2026-02-27T00:38:39.299Z [ODDS]  Serra: 21/10 → 2/1
2026-02-27T00:38:39.709Z [ODDS]  Serra: 2/1 → 21/10
2026-02-27T00:39:00.496Z [ODDS]  Draw: 8/11 → 4/6
2026-02-27T00:39:22.104Z [ODDS]  Real Noroeste: 9/2 → 5/1
2026-02-27T00:39:50.502Z [ODDS]  Serra: 21/10 → 11/5
2026-02-27T00:40:05.839Z [ODDS]  Serra: 11/5 → 21/10
2026-02-27T00:40:07.192Z [ODDS]  Serra: 21/10 → 11/5
2026-02-27T00:40:32.965Z [ODDS]  Real Noroeste: 5/1 → 9/2, Serra: 11/5 → 9/4
2026-02-27T00:41:24.316Z [ODDS]  Real Noroeste: 9/2 → 5/1, Draw: 4/6 → 8/13, Draw: 8/13 → 4/6, Serra: 9/4 → 21/10
2026-02-27T00:41:24.316Z [ODDS]  Draw: 4/6 → 8/13, Draw: 8/13 → 4/6
2026-02-27T00:41:25.220Z [ODDS]  Draw: 4/6 → 8/13, Serra: 21/10 → 9/4
2026-02-27T00:42:01.849Z [ODDS]  Serra: 9/4 → 11/5
2026-02-27T00:42:03.557Z [ODDS]  Serra: 11/5 → 9/4
2026-02-27T00:42:34.673Z [ODDS]  Draw: 8/13 → 4/7, Serra: 9/4 → 12/5
2026-02-27T00:42:52.261Z [ODDS]  Real Noroeste: 5/1 → 9/2, Serra: 12/5 → 5/2
2026-02-27T00:42:55.419Z [ODDS]  Real Noroeste: 9/2 → 5/1, Serra: 5/2 → 12/5
2026-02-27T00:43:33.397Z [ODDS]  Serra: 12/5 → 5/2
2026-02-27T00:43:52.246Z [ODDS]  Real Noroeste: 5/1 → 11/2
2026-02-27T00:44:03.606Z [ODDS]  Draw: 4/7 → 8/15
2026-02-27T00:44:25.626Z [ODDS]  Serra: 5/2 → 13/5
2026-02-27T00:44:49.586Z [ODDS]  Draw: 8/15 → 1/2
2026-02-27T00:45:02.606Z [ODDS]  Real Noroeste: 11/2 → 6/1
2026-02-27T00:45:04.946Z [ODDS]  Real Noroeste: 6/1 → 11/2, Serra: 13/5 → 11/4
2026-02-27T00:45:12.978Z [ODDS]  Real Noroeste: 11/2 → 6/1
2026-02-27T00:45:37.785Z [ODDS]  Real Noroeste: 6/1 → 11/2, Draw: 1/2 → 4/9
2026-02-27T00:45:42.744Z [ODDS]  Draw: 4/9 → 8/15, Serra: 11/4 → 13/5
2026-02-27T00:45:45.086Z [ODDS]  Draw: 8/15 → 1/2
2026-02-27T00:45:45.484Z [ODDS]  Draw: 1/2 → 8/15, Serra: 13/5 → 12/5
2026-02-27T00:45:51.765Z [ODDS]  Draw: 8/15 → 1/2, Serra: 12/5 → 13/5
2026-02-27T00:45:54.922Z [ODDS]  Real Noroeste: 11/2 → 6/1, Draw: 1/2 → 8/15, Serra: 13/5 → 5/2
2026-02-27T00:45:55.825Z [ODDS]  Real Noroeste: 6/1 → 11/2, Draw: 8/15 → 1/2, Serra: 5/2 → 13/5
2026-02-27T00:46:09.805Z [ODDS]  Real Noroeste: 11/2 → 6/1
2026-02-27T00:46:13.413Z [ODDS]  Real Noroeste: 6/1 → 11/2, Serra: 13/5 → 11/4
2026-02-27T00:46:32.808Z [ODDS]  Real Noroeste: 11/2 → 6/1, Draw: 1/2 → 4/9
2026-02-27T00:46:44.582Z [ODDS]  Serra: 11/4 → 3/1
2026-02-27T00:46:48.677Z [ODDS]  Serra: 3/1 → 11/4
2026-02-27T00:46:49.043Z [ODDS]  Real Noroeste: 6/1 → 13/2, Draw: 4/9 → 2/5, Serra: 11/4 → 3/1
2026-02-27T00:47:29.633Z [ODDS]  Real Noroeste: 13/2 → 7/1, Draw: 2/5 → 4/11, Serra: 3/1 → 10/3
2026-02-27T00:48:15.635Z [ODDS]  Draw: 4/11 → 1/3
2026-02-27T00:48:22.401Z [ODDS]  Serra: 10/3 → 7/2
2026-02-27T00:48:24.658Z [ODDS]  Serra: 7/2 → 10/3
2026-02-27T00:48:35.931Z [ODDS]  Serra: 10/3 → 7/2
2026-02-27T00:48:48.107Z [ODDS]  Real Noroeste: 7/1 → 15/2, Draw: 1/3 → 4/11, Serra: 7/2 → 10/3
2026-02-27T00:48:50.814Z [ODDS]  Real Noroeste: 15/2 → 7/1, Draw: 4/11 → 1/3, Serra: 10/3 → 7/2
2026-02-27T00:49:23.287Z [ODDS]  Draw: 1/3 → 3/10
2026-02-27T00:49:35.489Z [ODDS]  Serra: 7/2 → 15/4
2026-02-27T00:49:35.915Z [ODDS]  Real Noroeste: 7/1 → 13/2, Draw: 3/10 → 1/3
2026-02-27T00:49:38.621Z [ODDS]  Real Noroeste: 13/2 → 15/2, Draw: 1/3 → 3/10
2026-02-27T00:50:05.682Z [ODDS]  Draw: 3/10 → 2/7
2026-02-27T00:50:29.659Z [ODDS]  Serra: 15/4 → 4/1
2026-02-27T00:50:46.271Z [ODDS]  Draw: 2/7 → 1/4
2026-02-27T00:51:02.056Z [ODDS]  Real Noroeste: 15/2 → 8/1
2026-02-27T00:51:20.999Z [ODDS]  Serra: 4/1 → 9/2
2026-02-27T00:51:26.418Z [ODDS]  Serra: 9/2 → 4/1
2026-02-27T00:51:29.568Z [ODDS]  Real Noroeste: 8/1 → 17/2
2026-02-27T00:51:40.391Z [ODDS]  Real Noroeste: 17/2 → 8/1, Draw: 1/4 → 2/9, Serra: 4/1 → 9/2
2026-02-27T00:51:52.571Z [ODDS]  Real Noroeste: 8/1 → 17/2
2026-02-27T00:51:54.854Z [ODDS]  Real Noroeste: 17/2 → 7/1, Draw: 2/9 → 4/11, Serra: 9/2 → 10/3
2026-02-27T00:52:22.786Z [ODDS]  Draw: 4/11 → 1/3
2026-02-27T00:52:36.330Z [ODDS]  Serra: 10/3 → 7/2
2026-02-27T00:53:10.143Z [ODDS]  Draw: 1/3 → 3/10
2026-02-27T00:53:17.359Z [ODDS]  Real Noroeste: 7/1 → 15/2, Serra: 7/2 → 15/4
2026-02-27T00:53:19.615Z [ODDS]  Draw: 3/10 → 1/3, Serra: 15/4 → 10/3
2026-02-27T00:53:22.771Z [ODDS]  Draw: 1/3 → 3/10, Serra: 10/3 → 15/4
2026-02-27T00:53:39.008Z [ODDS]  Draw: 3/10 → 2/7
2026-02-27T00:53:46.677Z [ODDS]  Real Noroeste: 15/2 → 13/2, Draw: 2/7 → 3/10, Serra: 15/4 → 4/1
2026-02-27T00:53:58.406Z [ODDS]  Real Noroeste: 13/2 → 15/2, Draw: 3/10 → 2/7
2026-02-27T00:54:20.502Z [ODDS]  Draw: 2/7 → 1/4
2026-02-27T00:54:26.816Z [ODDS]  Real Noroeste: 15/2 → 8/1
2026-02-27T00:54:33.131Z [ODDS]  Draw: 1/4 → 2/7, Serra: 4/1 → 15/4
2026-02-27T00:54:34.935Z [ODDS]  Draw: 2/7 → 1/4, Serra: 15/4 → 4/1
2026-02-27T00:54:48.918Z [ODDS]  Serra: 4/1 → 9/2
2026-02-27T00:54:49.370Z [ODDS]  Serra: 9/2 → 15/4
2026-02-27T00:54:53.881Z [ODDS]  Serra: 15/4 → 4/1
2026-02-27T00:55:01.996Z [ODDS]  Real Noroeste: 8/1 → 17/2
2026-02-27T00:55:02.447Z [ODDS]  Real Noroeste: 17/2 → 8/1, Draw: 1/4 → 2/9, Serra: 4/1 → 9/2
2026-02-27T00:55:21.842Z [ODDS]  Real Noroeste: 8/1 → 17/2
2026-02-27T00:55:30.862Z [ODDS]  Draw: 2/9 → 1/4, Serra: 9/2 → 4/1
2026-02-27T00:55:49.352Z [ODDS]  Real Noroeste: 17/2 → 9/1, Draw: 1/4 → 2/9, Serra: 4/1 → 9/2
2026-02-27T00:55:49.802Z [ODDS]  Real Noroeste: 9/1 → 17/2, Draw: 2/9 → 1/5, Serra: 9/2 → 5/1
2026-02-27T00:55:52.960Z [ODDS]  Real Noroeste: 17/2 → 50/1, Draw: 1/5 → 12/1, Serra: 5/1 → 1/25
2026-02-27T00:55:52.960Z [EVENT]  score: 1-0
2026-02-27T00:56:45.277Z [ODDS]  Real Noroeste: 50/1 → 66/1, Serra: 1/25 → 1/28
2026-02-27T00:57:06.923Z [ODDS]  Draw: 12/1 → 14/1, Serra: 1/28 → 1/33
2026-02-27T00:57:47.965Z [ODDS]  Draw: 14/1 → 16/1, Serra: 1/33 → 1/40
2026-02-27T00:58:05.652Z [ODDS]  Real Noroeste: 66/1 → 50/1, Draw: 16/1 → 12/1, Serra: 1/40 → 1/25
2026-02-27T00:58:17.279Z [ODDS]  Serra: 1/25 → 1/28
2026-02-27T00:58:37.574Z [ODDS]  Real Noroeste: 50/1 → 66/1, Draw: 12/1 → 14/1, Serra: 1/28 → 1/33
2026-02-27T00:58:56.066Z [ODDS]  Real Noroeste: 66/1 → 80/1, Draw: 14/1 → 18/1, Serra: 1/33 → 1/50
2026-02-27T00:59:22.223Z [ODDS]  Draw: 18/1 → 20/1, Serra: 1/50 → 1/66
2026-02-27T00:59:54.247Z [ODDS]  Real Noroeste: 80/1 → 100/1, Draw: 20/1 → 22/1, Serra: 1/66 → 1/80
2026-02-27T01:00:15.444Z [ODDS]  Draw: 22/1 → 25/1, Serra: 1/80 → 1/100
2026-02-27T01:01:53.761Z [ODDS]  Serra: 1/100 → 1/125
2026-02-27T01:16:06.475Z [ODDS]  Draw: 1/200 → 1/100
2026-02-27T01:16:12.790Z [ODDS]  Draw: 1/100 → 1/50
2026-02-27T01:16:19.554Z [ODDS]  Draw: 1/50 → 1/66
2026-02-27T01:16:20.456Z [ODDS]  Draw: 1/66 → 1/200
2026-02-27T01:17:19.086Z [ODDS]  Draw: 1/200 → 1/66
2026-02-27T01:17:24.497Z [ODDS]  Draw: 1/66 → 1/200
2026-02-27T01:19:49.284Z [ODDS]  Draw: 1/200 → 1/66
2026-02-27T01:20:08.663Z [ODDS]  Draw: 1/66 → 0/0
