2026-02-27T00:08:36.076Z [ODDS]  Draw: 8/5 → 6/4
2026-02-27T00:50:54.389Z [ODDS]  Draw: 1/3 → 3/10
2026-02-27T00:51:11.528Z [ODDS]  Trem AP: 7/2 → 15/4
2026-02-27T00:51:26.418Z [ODDS]  Independente AP: 15/2 → 8/1, Draw: 3/10 → 2/7
2026-02-27T00:52:01.593Z [ODDS]  Draw: 2/7 → 1/4, Trem AP: 15/4 → 4/1
2026-02-27T00:52:29.104Z [ODDS]  Independente AP: 8/1 → 17/2
2026-02-27T00:52:31.824Z [ODDS]  Independente AP: 17/2 → 15/2, Trem AP: 4/1 → 9/2
2026-02-27T00:53:10.143Z [ODDS]  Independente AP: 15/2 → 17/2, Draw: 1/4 → 2/9
2026-02-27T00:53:52.541Z [ODDS]  Independente AP: 17/2 → 9/1, Draw: 2/9 → 1/5
2026-02-27T00:53:57.050Z [ODDS]  Draw: 1/5 → 2/9, Trem AP: 9/2 → 4/1
2026-02-27T00:54:18.248Z [ODDS]  Trem AP: 4/1 → 9/2
2026-02-27T00:54:28.621Z [ODDS]  Draw: 2/9 → 1/5
2026-02-27T00:54:30.425Z [ODDS]  Draw: 1/5 → 2/11, Trem AP: 9/2 → 5/1
2026-02-27T00:54:44.858Z [ODDS]  Trem AP: 5/1 → 11/2
2026-02-27T00:54:50.722Z [ODDS]  Draw: 2/11 → 1/6
2026-02-27T00:55:11.467Z [ODDS]  Independente AP: 9/1 → 10/1
2026-02-27T00:55:22.291Z [ODDS]  Draw: 1/6 → 1/7, Trem AP: 11/2 → 6/1
2026-02-27T00:56:02.431Z [ODDS]  Draw: 1/7 → 1/8, Trem AP: 6/1 → 13/2
2026-02-27T00:56:13.705Z [ODDS]  Independente AP: 10/1 → 11/1
2026-02-27T00:56:21.372Z [ODDS]  Draw: 1/8 → 1/9
2026-02-27T00:56:47.530Z [ODDS]  Draw: 1/9 → 1/10, Trem AP: 13/2 → 7/1
2026-02-27T00:56:56.550Z [ODDS]  Independente AP: 11/1 → 12/1, Draw: 1/10 → 1/11
2026-02-27T00:57:19.100Z [ODDS]  Draw: 1/11 → 1/12, Trem AP: 7/1 → 15/2
2026-02-27T00:57:33.083Z [ODDS]  Draw: 1/12 → 1/14, Trem AP: 15/2 → 8/1
2026-02-27T00:57:51.121Z [ODDS]  Draw: 1/14 → 1/16, Trem AP: 8/1 → 9/1
2026-02-27T00:58:09.613Z [ODDS]  Independente AP: 12/1 → 14/1
2026-02-27T00:58:19.985Z [ODDS]  Draw: 1/16 → 1/18
2026-02-27T00:58:24.946Z [ODDS]  Draw: 1/18 → 1/20, Trem AP: 9/1 → 10/1
2026-02-27T00:58:30.359Z [ODDS]  Independente AP: 14/1 → 11/1, Draw: 1/20 → 1/16, Trem AP: 10/1 → 9/1
2026-02-27T00:58:52.006Z [ODDS]  Draw: 1/16 → 1/18, Trem AP: 9/1 → 10/1
2026-02-27T00:59:07.340Z [ODDS]  Draw: 1/18 → 1/20, Trem AP: 10/1 → 11/1
2026-02-27T00:59:28.537Z [ODDS]  Independente AP: 11/1 → 12/1, Draw: 1/20 → 1/25, Trem AP: 11/1 → 12/1
2026-02-27T00:59:36.205Z [ODDS]  Independente AP: 12/1 → 16/1, Draw: 1/25 → 1/40, Trem AP: 12/1 → 16/1
2026-02-27T00:59:47.482Z [ODDS]  Independente AP: 16/1 → 18/1, Draw: 1/40 → 1/50, Trem AP: 16/1 → 18/1
