2026-02-26T20:02:07.454Z [ODDS]  Noah: 17/2 → 9/1
2026-02-26T20:27:46.436Z [ODDS]  Noah: 25/1 → 22/1, Draw: 10/1 → 9/1, AZ: 1/14 → 1/12
2026-02-26T20:27:55.001Z [ODDS]  Noah: 22/1 → 25/1, AZ: 1/12 → 1/14
2026-02-26T20:28:03.119Z [ODDS]  Noah: 25/1 → 22/1, AZ: 1/14 → 1/12
2026-02-26T20:28:12.141Z [ODDS]  Noah: 22/1 → 25/1, AZ: 1/12 → 1/14
2026-02-26T20:28:26.121Z [ODDS]  Noah: 25/1 → 22/1, AZ: 1/14 → 1/12
2026-02-26T20:30:08.051Z [ODDS]  Draw: 9/1 → 17/2, AZ: 1/12 → 1/11
2026-02-26T20:30:28.351Z [ODDS]  Draw: 17/2 → 9/1, AZ: 1/11 → 1/12
2026-02-26T20:30:35.121Z [ODDS]  Draw: 9/1 → 17/2, AZ: 1/12 → 1/10
2026-02-26T20:30:42.327Z [ODDS]  AZ: 1/10 → 1/11
2026-02-26T20:31:02.619Z [ODDS]  Draw: 17/2 → 8/1, AZ: 1/11 → 1/10
2026-02-26T20:31:11.649Z [ODDS]  Draw: 8/1 → 17/2, AZ: 1/10 → 1/11
2026-02-26T20:31:26.525Z [ODDS]  Draw: 17/2 → 8/1, AZ: 1/11 → 1/10
2026-02-26T20:31:45.469Z [ODDS]  Draw: 8/1 → 17/2, AZ: 1/10 → 1/11
2026-02-26T20:32:34.178Z [ODDS]  Noah: 22/1 → 25/1, Draw: 17/2 → 9/1, AZ: 1/11 → 1/12
2026-02-26T20:34:10.250Z [ODDS]  AZ: 1/12 → 1/14
2026-02-26T20:35:53.519Z [ODDS]  Noah: 25/1 → 28/1, Draw: 9/1 → 10/1
2026-02-26T20:36:01.640Z [ODDS]  Draw: 10/1 → 9/1
2026-02-26T20:36:26.897Z [ODDS]  Draw: 9/1 → 10/1
2026-02-26T20:36:31.411Z [ODDS]  Draw: 10/1 → 9/1
2026-02-26T20:36:47.647Z [ODDS]  Draw: 9/1 → 10/1
2026-02-26T20:37:07.483Z [ODDS]  AZ: 1/14 → 1/16
2026-02-26T20:38:35.580Z [ODDS]  Draw: 10/1 → 11/1, AZ: 1/16 → 1/18
2026-02-26T20:39:09.402Z [ODDS]  Draw: 11/1 → 10/1
2026-02-26T20:39:17.519Z [ODDS]  AZ: 1/18 → 1/16
2026-02-26T20:39:23.387Z [ODDS]  Noah: 28/1 → 50/1, Draw: 10/1 → 25/1, AZ: 1/16 → 1/80
2026-02-26T20:39:23.387Z [EVENT]  score: 2-0
2026-02-26T20:41:49.960Z [ODDS]  Draw: 25/1 → 28/1, AZ: 1/80 → 1/100
2026-02-26T20:42:11.620Z [ODDS]  Draw: 28/1 → 25/1, AZ: 1/100 → 1/80
2026-02-26T20:44:22.853Z [ODDS]  AZ: 1/80 → 1/100
2026-02-26T20:44:37.284Z [ODDS]  AZ: 1/100 → 1/80
2026-02-26T20:45:13.815Z [ODDS]  Draw: 25/1 → 28/1, AZ: 1/80 → 1/100
2026-02-26T20:45:25.542Z [ODDS]  Draw: 28/1 → 25/1
2026-02-26T20:46:04.328Z [ODDS]  AZ: 1/100 → 1/80
2026-02-26T20:46:05.230Z [ODDS]  AZ: 1/80 → 1/100
2026-02-26T20:47:19.659Z [ODDS]  Draw: 25/1 → 28/1
2026-02-26T20:48:26.941Z [ODDS]  Draw: 28/1 → 25/1
2026-02-26T20:48:50.847Z [ODDS]  Draw: 25/1 → 28/1
2026-02-26T21:07:56.261Z [ODDS]  AZ: 1/100 → 1/125
2026-02-26T21:08:07.582Z [EVENT]  score: 3-0
2026-02-26T21:08:33.278Z [EVENT]  score: 2-0
2026-02-26T21:08:38.691Z [ODDS]  AZ: 1/125 → 1/100
2026-02-26T21:08:41.398Z [ODDS]  AZ: 1/100 → 1/125
2026-02-26T21:10:27.384Z [ODDS]  Noah: 50/1 → 66/1
2026-02-26T21:11:14.285Z [ODDS]  AZ: 1/125 → 1/150
2026-02-26T21:11:29.180Z [ODDS]  AZ: 1/150 → 1/125
2026-02-26T21:11:43.605Z [ODDS]  AZ: 1/125 → 1/150
2026-02-26T21:11:58.075Z [EVENT]  score: 3-0
2026-02-26T21:38:23.658Z [ODDS]  Draw: 4/6 → 8/13
2026-02-26T21:38:38.991Z [ODDS]  Draw: 8/13 → 4/6
2026-02-26T21:38:51.618Z [ODDS]  Noah: 13/2 → 6/1, Draw: 4/6 → 8/13, AZ: 7/4 → 15/8
2026-02-26T21:39:00.187Z [ODDS]  Noah: 6/1 → 13/2
2026-02-26T21:39:37.621Z [ODDS]  Noah: 13/2 → 11/2, AZ: 15/8 → 2/1
2026-02-26T21:39:39.877Z [ODDS]  Noah: 11/2 → 13/2, Draw: 8/13 → 4/7, AZ: 2/1 → 15/8
2026-02-26T21:39:58.368Z [ODDS]  AZ: 15/8 → 2/1
2026-02-26T21:40:08.742Z [ODDS]  Draw: 4/7 → 8/15
2026-02-26T21:40:21.848Z [ODDS]  Noah: 13/2 → 7/1
2026-02-26T21:40:28.137Z [ODDS]  Noah: 7/1 → 13/2, AZ: 2/1 → 21/10
2026-02-26T21:40:38.506Z [ODDS]  Noah: 13/2 → 7/1
2026-02-26T21:41:01.059Z [ODDS]  Draw: 8/15 → 1/2, AZ: 21/10 → 11/5
2026-02-26T21:41:38.038Z [ODDS]  AZ: 11/5 → 9/4
2026-02-26T21:41:41.654Z [ODDS]  Draw: 1/2 → 4/9
2026-02-26T21:41:51.569Z [ODDS]  Draw: 4/9 → 1/2
2026-02-26T21:41:53.823Z [ODDS]  Draw: 1/2 → 4/9
2026-02-26T21:42:03.295Z [ODDS]  Noah: 7/1 → 15/2, AZ: 9/4 → 12/5
2026-02-26T21:42:05.553Z [ODDS]  Noah: 15/2 → 7/1
2026-02-26T21:42:38.475Z [ODDS]  Noah: 7/1 → 15/2
2026-02-26T21:42:56.987Z [ODDS]  Noah: 15/2 → 7/1, Draw: 4/9 → 2/5, AZ: 12/5 → 13/5
2026-02-26T21:43:09.639Z [ODDS]  Noah: 7/1 → 15/2
2026-02-26T21:43:18.162Z [ODDS]  AZ: 13/5 → 5/2
2026-02-26T21:43:22.687Z [ODDS]  Noah: 15/2 → 6/1, Draw: 2/5 → 4/9, AZ: 5/2 → 13/5
2026-02-26T21:43:38.910Z [ODDS]  AZ: 13/5 → 11/4
2026-02-26T21:43:39.811Z [ODDS]  Noah: 6/1 → 15/2, Draw: 4/9 → 2/5, AZ: 11/4 → 13/5
2026-02-26T21:43:46.134Z [ODDS]  Noah: 15/2 → 9/1, Draw: 2/5 → 4/11, AZ: 13/5 → 11/4
2026-02-26T21:43:51.245Z [ODDS]  Noah: 9/1 → 8/1
2026-02-26T21:44:04.172Z [ODDS]  Noah: 8/1 → 15/2
2026-02-26T21:44:14.538Z [ODDS]  Noah: 15/2 → 9/1, Draw: 4/11 → 1/3, AZ: 11/4 → 3/1
2026-02-26T21:44:42.953Z [ODDS]  Noah: 9/1 → 10/1, Draw: 1/3 → 3/10
2026-02-26T21:44:56.483Z [ODDS]  Noah: 10/1 → 9/1, AZ: 3/1 → 10/3
2026-02-26T21:44:57.836Z [ODDS]  Noah: 9/1 → 10/1, Draw: 3/10 → 2/7
2026-02-26T21:44:58.737Z [ODDS]  Noah: 10/1 → 17/2, Draw: 2/7 → 3/10
2026-02-26T21:45:09.110Z [ODDS]  AZ: 10/3 → 7/2
2026-02-26T21:45:10.915Z [ODDS]  Draw: 3/10 → 2/7
2026-02-26T21:45:34.365Z [ODDS]  Noah: 17/2 → 11/1, Draw: 2/7 → 1/4
2026-02-26T21:45:40.680Z [ODDS]  Noah: 11/1 → 10/1, AZ: 7/2 → 4/1
2026-02-26T21:45:42.036Z [ODDS]  AZ: 4/1 → 15/4
2026-02-26T21:45:42.936Z [ODDS]  Noah: 10/1 → 12/1, AZ: 15/4 → 7/2
2026-02-26T21:46:00.074Z [ODDS]  Noah: 12/1 → 14/1, Draw: 1/4 → 2/9
2026-02-26T21:46:08.190Z [ODDS]  AZ: 7/2 → 15/4
2026-02-26T21:46:46.527Z [ODDS]  Draw: 2/9 → 1/5, AZ: 15/4 → 4/1
2026-02-26T21:46:57.815Z [ODDS]  Noah: 14/1 → 16/1
2026-02-26T21:47:30.725Z [ODDS]  Draw: 1/5 → 2/11, AZ: 4/1 → 9/2
2026-02-26T21:47:54.630Z [ODDS]  Draw: 2/11 → 1/6
2026-02-26T21:48:27.554Z [ODDS]  Noah: 16/1 → 20/1, Draw: 1/6 → 1/14, AZ: 9/2 → 9/1
2026-02-26T21:48:40.188Z [EVENT]  score: 4-0
