2026-02-26T21:08:59.886Z [ODDS]  Draw: 5/2 → 12/5
2026-02-26T22:43:50.620Z [ODDS]  CD Aguila: 1/20 → 1/25, Draw: 10/1 → 12/1
2026-02-26T22:45:25.331Z [ODDS]  CD Aguila: 1/25 → 1/28
2026-02-26T22:45:49.685Z [ODDS]  CD Aguila: 1/28 → 1/33, Draw: 12/1 → 14/1, Fuerte San Francisco: 50/1 → 66/1
2026-02-26T22:46:58.236Z [ODDS]  CD Aguila: 1/33 → 1/40, Draw: 14/1 → 16/1
2026-02-26T22:47:10.864Z [ODDS]  CD Aguila: 1/40 → 1/33, Draw: 16/1 → 14/1
2026-02-26T22:47:46.945Z [ODDS]  CD Aguila: 1/33 → 1/40, Draw: 14/1 → 16/1
2026-02-26T22:48:43.325Z [ODDS]  CD Aguila: 1/40 → 1/50, Draw: 16/1 → 18/1, Fuerte San Francisco: 66/1 → 80/1
2026-02-26T22:49:35.636Z [ODDS]  CD Aguila: 1/50 → 1/66, Draw: 18/1 → 20/1
2026-02-26T22:50:01.794Z [ODDS]  CD Aguila: 1/66 → 1/40, Draw: 20/1 → 16/1
2026-02-26T22:50:32.913Z [ODDS]  CD Aguila: 1/40 → 1/50, Draw: 16/1 → 18/1
2026-02-26T22:50:56.366Z [ODDS]  Fuerte San Francisco: 80/1 → 100/1
2026-02-26T22:50:57.268Z [ODDS]  CD Aguila: 1/50 → 1/100, Draw: 18/1 → 25/1
2026-02-26T22:51:14.856Z [ODDS]  CD Aguila: 1/100 → 1/125
2026-02-26T22:51:20.269Z [ODDS]  CD Aguila: 1/125 → 1/150, Draw: 25/1 → 28/1
