2026-02-26T21:08:20.200Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T22:18:30.889Z [ODDS]  Racing FC de Gualuca: 7/4 → 15/8
2026-02-26T22:18:58.366Z [ODDS]  CD Dragon: 12/5 → 5/2
2026-02-26T22:19:24.975Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T22:21:18.189Z [ODDS]  Draw: 6/5 → 11/10
2026-02-26T22:21:41.234Z [ODDS]  CD Dragon: 5/2 → 13/5
2026-02-26T22:22:10.056Z [ODDS]  Racing FC de Gualuca: 15/8 → 2/1
2026-02-26T22:23:23.116Z [ODDS]  Draw: 11/10 → 21/20
2026-02-26T22:24:07.767Z [ODDS]  CD Dragon: 13/5 → 11/4
2026-02-26T22:24:35.399Z [ODDS]  Racing FC de Gualuca: 2/1 → 21/10
2026-02-26T22:24:39.789Z [ODDS]  Draw: 21/20 → 1/1
2026-02-26T22:26:02.773Z [ODDS]  Draw: 1/1 → 20/21
2026-02-26T22:26:35.391Z [ODDS]  Racing FC de Gualuca: 21/10 → 11/5
2026-02-26T22:27:18.096Z [ODDS]  Draw: 20/21 → 10/11
2026-02-26T22:27:37.046Z [ODDS]  CD Dragon: 11/4 → 3/1
2026-02-26T22:27:56.434Z [ODDS]  Racing FC de Gualuca: 11/5 → 9/4
2026-02-26T22:29:07.236Z [ODDS]  Draw: 10/11 → 5/6
2026-02-26T22:29:34.753Z [ODDS]  Racing FC de Gualuca: 9/4 → 12/5
2026-02-26T22:30:31.122Z [ODDS]  Draw: 5/6 → 4/5
2026-02-26T22:31:26.144Z [ODDS]  CD Dragon: 3/1 → 10/3, Racing FC de Gualuca: 12/5 → 5/2
2026-02-26T22:32:09.449Z [ODDS]  Draw: 4/5 → 8/11
2026-02-26T22:32:44.627Z [ODDS]  Racing FC de Gualuca: 5/2 → 13/5
2026-02-26T22:34:07.332Z [ODDS]  CD Dragon: 10/3 → 7/2, Draw: 8/11 → 4/6, Racing FC de Gualuca: 13/5 → 11/4
2026-02-26T22:35:24.002Z [ODDS]  Draw: 4/6 → 8/13
2026-02-26T22:35:49.259Z [ODDS]  CD Dragon: 7/2 → 15/4, Racing FC de Gualuca: 11/4 → 3/1
2026-02-26T22:36:40.672Z [ODDS]  Draw: 8/13 → 4/7
2026-02-26T22:37:29.380Z [ODDS]  CD Dragon: 15/4 → 4/1
2026-02-26T22:37:39.753Z [ODDS]  Draw: 4/7 → 8/15
2026-02-26T22:37:55.088Z [ODDS]  Racing FC de Gualuca: 3/1 → 10/3
2026-02-26T22:38:39.872Z [ODDS]  Draw: 8/15 → 1/2
2026-02-26T22:39:24.091Z [ODDS]  CD Dragon: 4/1 → 9/2, Racing FC de Gualuca: 10/3 → 7/2
2026-02-26T22:39:51.134Z [ODDS]  Draw: 1/2 → 4/9
2026-02-26T22:40:25.861Z [ODDS]  Racing FC de Gualuca: 7/2 → 15/4
2026-02-26T22:41:02.395Z [ODDS]  Draw: 4/9 → 2/5
2026-02-26T22:41:22.240Z [ODDS]  CD Dragon: 9/2 → 5/1
2026-02-26T22:41:30.357Z [ODDS]  Racing FC de Gualuca: 15/4 → 4/1
2026-02-26T22:42:07.790Z [ODDS]  Draw: 2/5 → 4/11
2026-02-26T22:42:49.733Z [ODDS]  Racing FC de Gualuca: 4/1 → 9/2
2026-02-26T22:43:10.028Z [ODDS]  CD Dragon: 5/1 → 11/2, Draw: 4/11 → 1/3
2026-02-26T22:43:41.600Z [ODDS]  Draw: 1/3 → 3/10
2026-02-26T22:44:07.758Z [ODDS]  CD Dragon: 11/2 → 6/1, Racing FC de Gualuca: 9/2 → 5/1
2026-02-26T22:44:15.426Z [ODDS]  Draw: 3/10 → 2/7
2026-02-26T22:44:49.252Z [ODDS]  CD Dragon: 6/1 → 11/2, Racing FC de Gualuca: 5/1 → 11/2
2026-02-26T22:45:43.821Z [ODDS]  CD Dragon: 11/2 → 6/1, Draw: 2/7 → 1/4, Racing FC de Gualuca: 11/2 → 6/1
2026-02-26T22:46:10.882Z [ODDS]  Draw: 1/4 → 2/9
2026-02-26T22:46:23.511Z [ODDS]  CD Dragon: 6/1 → 7/1, Draw: 2/9 → 1/5
2026-02-26T22:46:44.706Z [ODDS]  Draw: 1/5 → 2/11, Racing FC de Gualuca: 6/1 → 13/2
2026-02-26T22:47:06.806Z [ODDS]  Draw: 2/11 → 1/6
2026-02-26T22:47:07.256Z [ODDS]  CD Dragon: 7/1 → 15/2
2026-02-26T22:47:08.158Z [ODDS]  CD Dragon: 15/2 → 1/4, Draw: 1/6 → 11/4, Racing FC de Gualuca: 13/2 → 25/1
2026-02-26T22:49:22.106Z [ODDS]  CD Dragon: 1/4 → 1/20, Draw: 11/4 → 10/1, Racing FC de Gualuca: 25/1 → 50/1
2026-02-26T22:49:22.106Z [EVENT]  score: 0-1
2026-02-26T22:49:51.421Z [ODDS]  CD Dragon: 1/20 → 1/25, Draw: 10/1 → 12/1, Racing FC de Gualuca: 50/1 → 66/1
2026-02-26T22:50:12.166Z [ODDS]  CD Dragon: 1/25 → 1/28
2026-02-26T22:50:23.443Z [ODDS]  CD Dragon: 1/28 → 1/33, Draw: 12/1 → 14/1
2026-02-26T22:50:30.657Z [ODDS]  Racing FC de Gualuca: 66/1 → 80/1
2026-02-26T22:50:39.679Z [ODDS]  CD Dragon: 1/33 → 1/40, Draw: 14/1 → 16/1
2026-02-26T22:51:01.779Z [ODDS]  CD Dragon: 1/40 → 1/50, Draw: 16/1 → 18/1
2026-02-26T22:51:20.269Z [ODDS]  Racing FC de Gualuca: 80/1 → 100/1
2026-02-26T22:51:30.643Z [ODDS]  CD Dragon: 1/50 → 1/66, Draw: 18/1 → 20/1
2026-02-26T22:51:51.839Z [ODDS]  CD Dragon: 1/66 → 1/80, Draw: 20/1 → 22/1, Racing FC de Gualuca: 100/1 → 125/1
