2026-02-26T22:38:45.735Z [ODDS]  Banfield: 4/1 → 9/2
2026-02-26T22:57:21.522Z [ODDS]  Banfield: 12/1 → 14/1, River Plate: 1/4 → 2/9
2026-02-26T22:57:32.798Z [ODDS]  Banfield: 14/1 → 12/1, River Plate: 2/9 → 1/4
2026-02-26T22:57:53.995Z [ODDS]  Banfield: 12/1 → 14/1, River Plate: 1/4 → 2/9
2026-02-26T22:58:10.682Z [ODDS]  Banfield: 14/1 → 12/1
2026-02-26T22:58:13.838Z [ODDS]  Banfield: 12/1 → 14/1
2026-02-26T22:58:22.407Z [ODDS]  Banfield: 14/1 → 12/1, River Plate: 2/9 → 1/4
2026-02-26T22:58:27.820Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T22:58:42.704Z [ODDS]  Banfield: 12/1 → 14/1
2026-02-26T22:59:31.863Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T22:59:33.219Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:01:16.496Z [ODDS]  Banfield: 14/1 → 16/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 1/5
2026-02-26T23:01:20.103Z [ODDS]  Banfield: 16/1 → 14/1
2026-02-26T23:01:21.908Z [ODDS]  Draw: 5/1 → 9/2, River Plate: 1/5 → 2/9
2026-02-26T23:01:28.222Z [ODDS]  Banfield: 14/1 → 12/1, River Plate: 2/9 → 1/4
2026-02-26T23:01:30.026Z [ODDS]  Banfield: 12/1 → 14/1
2026-02-26T23:01:31.379Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:02:22.341Z [ODDS]  Banfield: 14/1 → 16/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 1/5
2026-02-26T23:02:38.579Z [ODDS]  Banfield: 16/1 → 14/1, Draw: 5/1 → 9/2, River Plate: 1/5 → 2/9
2026-02-26T23:03:09.246Z [ODDS]  Banfield: 14/1 → 16/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 1/5
2026-02-26T23:03:16.914Z [ODDS]  Banfield: 16/1 → 14/1, Draw: 5/1 → 9/2, River Plate: 1/5 → 2/9
2026-02-26T23:03:52.992Z [ODDS]  Banfield: 14/1 → 16/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 1/5
2026-02-26T23:03:59.306Z [ODDS]  Banfield: 16/1 → 14/1, Draw: 5/1 → 9/2, River Plate: 1/5 → 1/4
2026-02-26T23:04:03.817Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:04:22.762Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T23:04:26.818Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:04:29.524Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T23:04:38.996Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:04:51.173Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T23:05:30.410Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T23:05:39.431Z [ODDS]  Banfield: 14/1 → 16/1
2026-02-26T23:06:22.730Z [ODDS]  Banfield: 16/1 → 14/1
2026-02-26T23:06:59.259Z [ODDS]  Banfield: 14/1 → 16/1
2026-02-26T23:07:43.908Z [ODDS]  River Plate: 2/9 → 1/5
2026-02-26T23:07:58.341Z [ODDS]  Banfield: 16/1 → 18/1, Draw: 9/2 → 5/1
2026-02-26T23:08:29.807Z [ODDS]  Banfield: 18/1 → 16/1, Draw: 5/1 → 9/2, River Plate: 1/5 → 2/9
2026-02-26T23:08:56.869Z [ODDS]  Banfield: 16/1 → 18/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 1/5
2026-02-26T23:09:24.378Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:10:08.125Z [ODDS]  Banfield: 18/1 → 16/1, Draw: 5/1 → 9/2, River Plate: 2/11 → 1/5
2026-02-26T23:10:18.047Z [ODDS]  Banfield: 16/1 → 18/1, Draw: 9/2 → 5/1
2026-02-26T23:10:23.912Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:10:30.224Z [ODDS]  River Plate: 2/11 → 1/5
2026-02-26T23:10:54.585Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:10:59.094Z [ODDS]  River Plate: 2/11 → 1/5
2026-02-26T23:11:14.427Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:11:35.174Z [ODDS]  Banfield: 18/1 → 16/1, Draw: 5/1 → 9/2, River Plate: 2/11 → 1/5
2026-02-26T23:11:42.842Z [ODDS]  Banfield: 16/1 → 18/1, Draw: 9/2 → 5/1, River Plate: 1/5 → 2/11
2026-02-26T23:11:51.412Z [ODDS]  River Plate: 2/11 → 1/5
2026-02-26T23:12:09.903Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:12:40.571Z [ODDS]  Banfield: 18/1 → 20/1
2026-02-26T23:12:46.886Z [ODDS]  Banfield: 20/1 → 16/1, Draw: 5/1 → 9/2, River Plate: 2/11 → 1/5
2026-02-26T23:12:52.748Z [ODDS]  Banfield: 16/1 → 20/1, Draw: 9/2 → 5/1, River Plate: 1/5 → 2/11
2026-02-26T23:13:17.102Z [ODDS]  Banfield: 20/1 → 18/1, Draw: 5/1 → 9/2, River Plate: 2/11 → 1/5
2026-02-26T23:13:27.026Z [ODDS]  Draw: 9/2 → 5/1
2026-02-26T23:14:31.969Z [ODDS]  River Plate: 1/5 → 2/11
2026-02-26T23:14:41.440Z [ODDS]  River Plate: 2/11 → 1/5
2026-02-26T23:14:57.676Z [ODDS]  Banfield: 18/1 → 20/1, River Plate: 1/5 → 2/11
2026-02-26T23:15:08.049Z [ODDS]  Banfield: 20/1 → 18/1, River Plate: 2/11 → 1/5
2026-02-26T23:15:28.800Z [ODDS]  Banfield: 18/1 → 20/1, River Plate: 1/5 → 2/11
2026-02-26T23:15:31.501Z [ODDS]  Banfield: 20/1 → 16/1, Draw: 5/1 → 9/2, River Plate: 2/11 → 2/9
2026-02-26T23:15:45.481Z [ODDS]  Banfield: 16/1 → 20/1, Draw: 9/2 → 5/1, River Plate: 2/9 → 2/11
2026-02-26T23:15:53.601Z [ODDS]  Banfield: 20/1 → 5/1, Draw: 5/1 → 13/8, River Plate: 2/11 → 20/21
2026-02-26T23:15:53.601Z [EVENT]  score: 1-1
2026-02-26T23:16:07.579Z [ODDS]  Banfield: 5/1 → 20/1, Draw: 13/8 → 5/1, River Plate: 20/21 → 2/11
2026-02-26T23:16:07.579Z [EVENT]  score: 1-0
2026-02-26T23:18:14.312Z [ODDS]  Banfield: 20/1 → 5/1, Draw: 5/1 → 8/5, River Plate: 2/11 → 20/21
2026-02-26T23:18:14.312Z [EVENT]  score: 1-1
2026-02-26T23:18:29.646Z [ODDS]  Draw: 8/5 → 13/8, River Plate: 20/21 → 10/11
2026-02-26T23:19:05.729Z [ODDS]  Draw: 13/8 → 8/5, River Plate: 10/11 → 1/1
2026-02-26T23:19:24.668Z [ODDS]  Banfield: 5/1 → 9/2, River Plate: 1/1 → 21/20
2026-02-26T23:20:04.357Z [ODDS]  Draw: 8/5 → 13/8, River Plate: 21/20 → 1/1
2026-02-26T23:20:12.924Z [ODDS]  Draw: 13/8 → 8/5, River Plate: 1/1 → 21/20
2026-02-26T23:20:14.282Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T23:21:02.084Z [ODDS]  Draw: 6/4 → 8/5
2026-02-26T23:24:43.536Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T23:32:54.673Z [ODDS]  Banfield: 9/2 → 5/1, Draw: 6/4 → 8/5, River Plate: 21/20 → 1/1
2026-02-26T23:40:12.969Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T23:40:29.206Z [ODDS]  Banfield: 5/1 → 20/1, Draw: 6/4 → 5/1, River Plate: 1/1 → 2/11
2026-02-26T23:40:29.206Z [EVENT]  score: 2-1
2026-02-26T23:42:30.071Z [ODDS]  Banfield: 20/1 → 22/1, River Plate: 2/11 → 1/6
2026-02-26T23:50:09.195Z [ODDS]  Banfield: 22/1 → 25/1
2026-02-26T23:52:01.946Z [ODDS]  River Plate: 1/6 → 1/7
2026-02-26T23:52:12.333Z [ODDS]  River Plate: 1/7 → 1/6
2026-02-26T23:52:20.002Z [ODDS]  Banfield: 25/1 → 28/1, River Plate: 1/6 → 1/7
2026-02-26T23:52:36.686Z [ODDS]  Draw: 5/1 → 11/2
2026-02-26T23:52:39.843Z [ODDS]  Draw: 11/2 → 5/1
2026-02-26T23:52:45.707Z [ODDS]  Banfield: 28/1 → 66/1, Draw: 5/1 → 18/1, River Plate: 1/7 → 1/50
2026-02-26T23:52:45.707Z [EVENT]  score: 3-1
2026-02-26T23:53:04.197Z [ODDS]  Draw: 18/1 → 20/1, River Plate: 1/50 → 1/66
2026-02-26T23:54:20.870Z [ODDS]  Draw: 20/1 → 18/1, River Plate: 1/66 → 1/50
2026-02-26T23:54:28.987Z [ODDS]  Draw: 18/1 → 20/1, River Plate: 1/50 → 1/66
2026-02-26T23:54:47.026Z [ODDS]  River Plate: 1/66 → 1/50
2026-02-26T23:55:11.831Z [ODDS]  River Plate: 1/50 → 1/66
2026-02-26T23:56:10.010Z [ODDS]  River Plate: 1/66 → 1/50
2026-02-26T23:56:14.068Z [ODDS]  River Plate: 1/50 → 1/66
2026-02-26T23:57:41.660Z [ODDS]  Banfield: 66/1 → 80/1
2026-02-26T23:57:52.033Z [ODDS]  Banfield: 80/1 → 66/1
2026-02-26T23:59:02.840Z [ODDS]  Banfield: 66/1 → 80/1
2026-02-27T00:00:23.118Z [ODDS]  Draw: 20/1 → 22/1, River Plate: 1/66 → 1/80
2026-02-27T00:01:02.375Z [ODDS]  Draw: 22/1 → 20/1, River Plate: 1/80 → 1/66
2026-02-27T00:02:54.655Z [ODDS]  Draw: 20/1 → 22/1, River Plate: 1/66 → 1/80
2026-02-27T00:04:32.977Z [ODDS]  Draw: 22/1 → 25/1, River Plate: 1/80 → 1/100
2026-02-27T00:04:46.055Z [ODDS]  Draw: 25/1 → 22/1, River Plate: 1/100 → 1/80
2026-02-27T00:06:33.846Z [ODDS]  Draw: 22/1 → 25/1, River Plate: 1/80 → 1/100
2026-02-27T00:07:03.165Z [ODDS]  Banfield: 80/1 → 100/1
2026-02-27T00:07:46.013Z [ODDS]  River Plate: 1/100 → 1/125
2026-02-27T00:08:15.773Z [ODDS]  River Plate: 1/125 → 1/100
