2026-02-26T19:52:49.526Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T20:59:07.054Z [ODDS]  Maleyet El Zayiat: 7/2 → 15/4
2026-02-26T21:00:06.043Z [ODDS]  Maleyet El Zayiat: 15/4 → 7/2, El Mansoura: 12/5 → 5/2
2026-02-26T21:01:03.326Z [ODDS]  Maleyet El Zayiat: 7/2 → 15/4, Draw: 8/11 → 4/6, El Mansoura: 5/2 → 12/5
2026-02-26T21:01:17.757Z [ODDS]  El Mansoura: 12/5 → 5/2
2026-02-26T21:03:11.441Z [ODDS]  El Mansoura: 5/2 → 13/5
2026-02-26T21:03:42.530Z [ODDS]  Maleyet El Zayiat: 15/4 → 4/1
2026-02-26T21:04:13.652Z [ODDS]  Draw: 4/6 → 8/13
2026-02-26T21:04:30.896Z [ODDS]  Draw: 8/13 → 4/6
2026-02-26T21:05:16.796Z [ODDS]  Draw: 4/6 → 8/13
2026-02-26T21:05:38.489Z [ODDS]  Draw: 8/13 → 4/6, El Mansoura: 13/5 → 5/2
2026-02-26T21:06:20.383Z [ODDS]  Draw: 4/6 → 8/13, El Mansoura: 5/2 → 13/5
2026-02-26T21:06:29.405Z [ODDS]  El Mansoura: 13/5 → 11/4
2026-02-26T21:07:27.146Z [ODDS]  Draw: 8/13 → 4/7
2026-02-26T21:08:59.886Z [ODDS]  Maleyet El Zayiat: 4/1 → 9/2
2026-02-26T21:09:21.093Z [ODDS]  El Mansoura: 11/4 → 3/1
2026-02-26T21:09:26.044Z [ODDS]  Draw: 4/7 → 8/15
2026-02-26T21:11:06.191Z [ODDS]  Draw: 8/15 → 1/2
2026-02-26T21:12:42.688Z [ODDS]  El Mansoura: 3/1 → 10/3
2026-02-26T21:13:08.391Z [ODDS]  Draw: 1/2 → 4/9
2026-02-26T21:13:19.222Z [ODDS]  Maleyet El Zayiat: 9/2 → 5/1
2026-02-26T21:14:54.846Z [ODDS]  El Mansoura: 10/3 → 7/2
2026-02-26T21:15:25.955Z [ODDS]  Draw: 4/9 → 2/5
2026-02-26T21:16:17.815Z [ODDS]  El Mansoura: 7/2 → 15/4
2026-02-26T21:16:31.800Z [ODDS]  Maleyet El Zayiat: 5/1 → 11/2
2026-02-26T21:16:42.171Z [ODDS]  Maleyet El Zayiat: 11/2 → 5/1
2026-02-26T21:17:13.741Z [ODDS]  El Mansoura: 15/4 → 4/1
2026-02-26T21:18:00.192Z [ODDS]  Draw: 2/5 → 4/11
2026-02-26T21:18:05.608Z [ODDS]  Maleyet El Zayiat: 5/1 → 11/2
2026-02-26T21:18:36.725Z [ODDS]  Draw: 4/11 → 1/3
2026-02-26T21:18:50.720Z [ODDS]  Maleyet El Zayiat: 11/2 → 6/1
2026-02-26T21:19:48.903Z [ODDS]  El Mansoura: 4/1 → 9/2
2026-02-26T21:20:06.026Z [ODDS]  Draw: 1/3 → 3/10
2026-02-26T21:21:04.661Z [ODDS]  Maleyet El Zayiat: 6/1 → 11/2
2026-02-26T21:21:25.403Z [ODDS]  El Mansoura: 9/2 → 5/1
2026-02-26T21:21:32.166Z [ODDS]  Maleyet El Zayiat: 11/2 → 13/2, Draw: 3/10 → 2/7, El Mansoura: 5/1 → 9/2
2026-02-26T21:21:42.990Z [ODDS]  El Mansoura: 9/2 → 5/1
2026-02-26T21:22:21.327Z [ODDS]  Draw: 2/7 → 1/4
2026-02-26T21:23:21.767Z [ODDS]  El Mansoura: 5/1 → 11/2
2026-02-26T21:23:38.462Z [ODDS]  Maleyet El Zayiat: 13/2 → 7/1, Draw: 1/4 → 2/9
2026-02-26T21:24:39.805Z [ODDS]  Draw: 2/9 → 1/5, El Mansoura: 11/2 → 6/1
2026-02-26T21:25:14.089Z [ODDS]  Maleyet El Zayiat: 7/1 → 15/2
2026-02-26T21:25:22.242Z [ODDS]  Draw: 1/5 → 2/11
2026-02-26T21:25:59.713Z [ODDS]  Maleyet El Zayiat: 15/2 → 13/2, Draw: 2/11 → 1/5, El Mansoura: 6/1 → 13/2
2026-02-26T21:26:20.386Z [ODDS]  Maleyet El Zayiat: 13/2 → 7/1, Draw: 1/5 → 2/11
2026-02-26T21:27:01.881Z [ODDS]  Draw: 2/11 → 1/6
2026-02-26T21:27:11.791Z [ODDS]  El Mansoura: 13/2 → 7/1
2026-02-26T21:27:16.302Z [ODDS]  Maleyet El Zayiat: 7/1 → 8/1, Draw: 1/6 → 1/7
2026-02-26T21:27:37.505Z [ODDS]  Maleyet El Zayiat: 8/1 → 17/2
2026-02-26T21:27:48.775Z [ODDS]  Draw: 1/7 → 1/8
2026-02-26T21:28:27.110Z [ODDS]  Maleyet El Zayiat: 17/2 → 9/1, El Mansoura: 7/1 → 15/2
2026-02-26T21:28:47.855Z [ODDS]  Draw: 1/8 → 1/9
2026-02-26T21:29:05.447Z [ODDS]  Draw: 1/9 → 1/10
2026-02-26T21:29:26.647Z [ODDS]  El Mansoura: 15/2 → 8/1, Maleyet El Zayiat: 9/1 → 11/1, Draw: 1/10 → 1/16, El Mansoura: 8/1 → 9/1
2026-02-26T21:29:26.648Z [ODDS]  El Mansoura: 9/1 → 8/1, El Mansoura: 8/1 → 9/1
2026-02-26T21:29:55.551Z [ODDS]  Draw: 1/16 → 1/18
2026-02-26T21:30:24.261Z [ODDS]  Draw: 1/18 → 1/20, El Mansoura: 9/1 → 10/1
2026-02-26T21:30:44.221Z [ODDS]  Maleyet El Zayiat: 11/1 → 12/1
2026-02-26T21:30:56.394Z [ODDS]  Draw: 1/20 → 1/22
2026-02-26T21:31:15.794Z [ODDS]  Draw: 1/22 → 1/25, El Mansoura: 10/1 → 12/1
2026-02-26T21:31:45.565Z [ODDS]  Draw: 1/25 → 1/28
2026-02-26T21:32:06.302Z [ODDS]  Maleyet El Zayiat: 12/1 → 14/1, Draw: 1/28 → 1/33, El Mansoura: 12/1 → 14/1
2026-02-26T21:32:23.892Z [ODDS]  Maleyet El Zayiat: 14/1 → 16/1, Draw: 1/33 → 1/40, El Mansoura: 14/1 → 16/1
2026-02-26T21:32:27.965Z [ODDS]  Draw: 1/40 → 1/28, El Mansoura: 16/1 → 12/1
2026-02-26T21:32:48.703Z [ODDS]  Draw: 1/28 → 1/33, El Mansoura: 12/1 → 14/1
2026-02-26T21:33:09.445Z [ODDS]  Draw: 1/33 → 1/40, El Mansoura: 14/1 → 16/1
2026-02-26T21:33:30.638Z [ODDS]  Maleyet El Zayiat: 16/1 → 18/1
2026-02-26T21:33:36.119Z [ODDS]  Maleyet El Zayiat: 18/1 → 25/1, Draw: 1/40 → 1/100, El Mansoura: 16/1 → 25/1
